dropped_path,reason
icons/vehicle/tanker-1-legacy-marker.svg,legacy/old deprecated
icons/vehicle/van-legacy-marker.svg,legacy/old deprecated
icons/vehicle/tanker-old-2.svg,legacy/old deprecated
icons/vehicle/tanker-legacy.svg,legacy/old deprecated
icons/vehicle/car-1-legacy.svg,legacy/old deprecated
icons/vehicle/tanker-legacy-marker.svg,legacy/old deprecated
icons/vehicle/car-legacy-marker.svg,legacy/old deprecated
icons/vehicle/bus-legacy-marker.svg,legacy/old deprecated
icons/vehicle/bike-legacy.svg,legacy/old deprecated
icons/vehicle/bike-legacy-marker.svg,legacy/old deprecated
icons/vehicle/tanker-old2-marker.svg,legacy/old deprecated
icons/vehicle/van-legacy.svg,legacy/old deprecated
icons/vehicle/truck-legacy.svg,legacy/old deprecated
icons/vehicle/car-legacy.svg,legacy/old deprecated
icons/vehicle/tanker-1-legacy.svg,legacy/old deprecated
icons/vehicle/car-old2.svg,legacy/old deprecated
icons/vehicle/tanker-old2.svg,legacy/old deprecated
icons/vehicle/bus-legacy.svg,legacy/old deprecated
icons/device/device-1-legacy.svg,legacy/old deprecated
