old_ds_path,new_ds_path,tier,action
illustrations/ead/auth-hero.svg,illustrations/ead/auth-hero.svg,illustration,placed
illustrations/ead/not-found.svg,illustrations/ead/not-found.svg,illustration,placed
illustrations/iwmp/auth-hero.svg,illustrations/iwmp/auth-hero.svg,illustration,placed
illustrations/shared/planned-end-location.svg,illustrations/empty-state/planned-end-location.svg,illustration,placed
illustrations/shared/planned-start-location.svg,illustrations/empty-state/planned-start-location.svg,illustration,placed
illustrations/shared/workforce-empty-state.svg,illustrations/empty-state/workforce-empty-state.svg,illustration,placed
illustrations/shared/map-empty-state.svg,illustrations/empty-state/map-empty-state.svg,illustration,placed
illustrations/shared/bin-body.svg,illustrations/empty-state/bin-body.svg,illustration,placed
illustrations/shared/device-empty-state.svg,illustrations/empty-state/device-empty-state.svg,illustration,placed
illustrations/shared/temporary.svg,illustrations/empty-state/temporary.svg,illustration,placed
illustrations/shared/bin-lid.svg,illustrations/empty-state/bin-lid.svg,illustration,placed
illustrations/shared/bin-branding.svg,illustrations/empty-state/bin-branding.svg,illustration,placed
illustrations/shared/event-breakdown-empty-state.svg,illustrations/empty-state/event-breakdown-empty-state.svg,illustration,placed
illustrations/shared/breakdown-table-empty-state.svg,illustrations/empty-state/breakdown-table-empty-state.svg,illustration,placed
illustrations/shared/compliance-empty-state.svg,illustrations/empty-state/compliance-empty-state.svg,illustration,placed
illustrations/shared/empty-map.svg,illustrations/empty-state/empty-map.svg,illustration,placed
illustrations/shared/line-empty-state.svg,illustrations/empty-state/line-empty-state.svg,illustration,placed
illustrations/shared/timeline-empty-state.svg,illustrations/empty-state/timeline-empty-state.svg,illustration,placed
illustrations/shared/start.svg,illustrations/empty-state/start.svg,illustration,placed
illustrations/shared/empty-destinations.svg,illustrations/empty-state/empty-destinations.svg,illustration,placed
illustrations/shared/pie-empty-state.svg,illustrations/empty-state/pie-empty-state.svg,illustration,placed
illustrations/shared/tadweer-bin.svg,illustrations/empty-state/tadweer-bin.svg,illustration,placed
illustrations/shared/document-empty-state.svg,illustrations/empty-state/document-empty-state.svg,illustration,placed
illustrations/shared/bin-leakage.svg,illustrations/empty-state/bin-leakage.svg,illustration,placed
illustrations/shared/deep-washing-pad.svg,illustrations/empty-state/deep-washing-pad.svg,illustration,placed
illustrations/shared/comparison-empty-state.svg,illustrations/empty-state/comparison-empty-state.svg,illustration,placed
illustrations/shared/discharge.svg,illustrations/empty-state/discharge.svg,illustration,placed
illustrations/shared/semi-pie-empty-state.svg,illustrations/empty-state/semi-pie-empty-state.svg,illustration,placed
